pais,casos,mortos,recuperados
United States,1673225,97906,338480
Brazil,357839,22500,142587
Russia,344481,3541,113299
United Kingdom,259559,36793,0
Spain,235772,28752,150376
Italy,229858,32785,140479
Germany,180140,8371,161875
Turkey,156827,4340,118694
France,144921,28367,64617
Iran,135701,7417,105801
India,131868,3867,54441
Peru,119959,3456,49795
Canada,84657,6424,43930
China,82974,4634,78261
Saudi Arabia,72560,390,43520
Chile,69102,718,28148
Mexico,65856,7179,44919
Belgium,57092,9280,15272
Pakistan,54601,1133,17198
Netherlands,45236,5822,0
Qatar,43714,23,9170
Ecuador,362756,3108,3560
Belarus,36198,199,14155
Bangladesh,33610,480,6901
Sweden,33459,3998,4971
Singapore,31616,23,14876
Switzerland,30736,1641,28000
Portugal,30623,1316,17549
United Arab Emirates,29485,245,15056
Ireland,24639,1608,21060
South Africa,22583,429,10104
Indonesia,22271,1372,5402
Poland,21326,996,9194
Kuwait,21302,156,6117
Ukraine,20986,617,7108
Colombia,20177,705,4718
Romania,18070,1179,11399
Egypt,17265,764,4807
Israel,16712,279,14093
Japan,16569,825,13244
Austria,16430,640,15063
Dominican Republic,14801,458,8133
Philippines,14035,868,3249
Argentina,11340,445,3517
Denmark,11360,562,9900
South Korea,11190,266,10213
Serbia,11159,238,5857
Afghanistan,10582,218,1075
Panama,10577,299,6279
Bahrain,9138,13,4587
Czech Republic,8932,315,6063
Norway,8349,235,7999
Kazakhstan,8322,35,4352
Algeria,8306,600,4578
Oman,7770,36,1933
Nigeria,7526,221,2174
Morocco,7433,199,4703
Malaysia,7245,115,5945
Australia,7109,102,6506
Moldova,7093,250,3713
Ghana,6683,32,1998
Armenia,6661,81,3064
Finland,6579,307,4800
Bolivia,5915,240,609
Iraq,4469,160,2738
Cameroon,4400,159,1822
Azerbaijan,4122,49,2607
Luxembourg,3992,110,3767
Honduras,3743,174,455
Hungary,3741,486,1690
Sudan,3628,146,424
Puerto Rico,3189,127,850
Guinea,3176,20,1631
Uzbekistan,3164,13,2565
Guatemala,3054,55,244
Senegal,3047,39,1456
Thailand,3040,56,2921
Tajikistan,2929,46,1301
Greece,2878,171,1374
Bulgaria,2427,130,840
Bosnia & Herzegovina,2401,144,1680
Ivory Coast,2376,30,1219
Djibouti,2270,10,1064
Croatia,2244,99,2027
DR Congo,2140,62,312
North Macedonia,1978,113,1422
Cuba,1941,82,1689
Gabon,1934,12,459
El Salvador,1915,35,594
Estonia,1823,64,1532
Iceland,1804,10,1791
Lithuania,1623,63,1138
Somalia,1594,61,204
Slovakia,1509,28,1301
Slovenia,1468,107,1340
Kyrgyzstan,1403,14,980
Maldives,1371,4,144
